"","country","totalCases","totalNewCases","estimate","lower","upper","population","propCurrentlyInfMid","propCurrentlyInfLow","propCurrentlyInfHigh"
"122","Turkey",167410,12910,0.777389720857821,0.62782475832576,0.923879051550627,84339067,0.00039,0.00022,0.00081
"123","Ukraine",25964,5816,0.465191193203765,0.342110395327993,0.612253321001073,43733759,0.00057,0.00028,0.0013
"124","United Arab Emirates",37018,9126,0.988404030309922,0.911440946412356,0.999999999978926,9890400,0.0019,0.0012,0.0034
"125","United Kingdom",281661,27466,0.122219812533877,0.100370389939339,0.14356770465057,67886004,0.0066,0.0037,0.013
"126","United Republic of Tanzania",509,0,0.576702495317208,0.280291682923809,0.968035065413931,59734213,0,0,0
"127","United States of America",1872660,271226,0.349568866191295,0.290402102929141,0.412100611917363,331002647,0.0047,0.0026,0.0094
"128","Uruguay",832,79,0.470875492408965,0.235247621024923,0.861600819237191,3473727,0.000097,0.000034,0.00032
"129","Uzbekistan",3965,887,0.952101903578487,0.795539723044046,0.99999997893024,33469199,0.000056,0.000034,0.00011
"130","Venezuela",2087,1143,0.865927226375514,0.565802895705158,0.99995093534576,28435943,0.000093,0.000052,0.00024
"131","Yemen",453,248,0.0379632179809939,0.0264435370623792,0.0527925936158121,29825968,0.00044,0.0002,0.001
